Numero de muestra;Valor original;Valor filtrado
150;-0.0000305185;-0.0000478761
151;0.0000000000;-0.0000415238
152;-0.0000610370;-0.0000350847
153;0.0000305185;-0.0000287993
154;0.0000305185;-0.0000229230
155;0.0001220740;-0.0000177150
156;-0.0000610370;-0.0000134260
157;0.0000000000;-0.0000102849
158;0.0000000000;-0.0000084854
159;-0.0000610370;-0.0000081733
160;-0.0000610370;-0.0000094352
161;-0.0001220740;-0.0000122891
162;0.0001220740;-0.0000166782
163;-0.0000305185;-0.0000224685
164;-0.0000305185;-0.0000294510
165;-0.0000305185;-0.0000373482
166;-0.0000610370;-0.0000458256
167;-0.0000305185;-0.0000545069
168;-0.0000610370;-0.0000629929
169;-0.0000610370;-0.0000708819
170;0.0000610370;-0.0000777913
171;-0.0002136296;-0.0000833781
172;-0.0000915555;-0.0000873580
173;0.0000305185;-0.0000895208
174;0.0001831111;-0.0000897426
175;-0.0000305185;-0.0000879927
176;-0.0001220740;-0.0000843353
177;-0.0000305185;-0.0000789269
178;0.0000610370;-0.0000720074
179;-0.0000915555;-0.0000638877
180;-0.0002746666;-0.0000549330
181;0.0000610370;-0.0000455425
182;-0.0001525925;-0.0000361284
183;-0.0000610370;-0.0000270938
184;0.0000915555;-0.0000188122
185;-0.0001220740;-0.0000116090
186;-0.0001831111;-0.0000057472
187;0.0000000000;-0.0000014169
188;-0.0000305185;0.0000012703
189;-0.0000610370;0.0000022824
190;-0.0000610370;0.0000016630
191;-0.0001831111;-0.0000004753
192;0.0000305185;-0.0000039618
193;0.0000915555;-0.0000085800
194;-0.0001220740;-0.0000140813
195;-0.0000915555;-0.0000201998
196;-0.0000915555;-0.0000266659
197;-0.0000915555;-0.0000332193
198;0.0000305185;-0.0000396198
199;-0.0000305185;-0.0000456567
200;0.0000305185;-0.0000511548
201;0.0000000000;-0.0000559788
202;-0.0001525925;-0.0000600348
203;0.0001831111;-0.0000632703
204;-0.0001525925;-0.0000656715
205;-0.0000305185;-0.0000672592
206;0.0001220740;-0.0000680835
207;0.0001831111;-0.0000682174
208;0.0000305185;-0.0000677495
209;0.0000610370;-0.0000667771
210;-0.0003662221;-0.0000653989
211;-0.0000915555;-0.0000637091
212;0.0000000000;-0.0000617912
213;-0.0000305185;-0.0000597137
214;0.0000305185;-0.0000575265
215;0.0001220740;-0.0000552595
216;0.0000000000;-0.0000529233
217;0.0001220740;-0.0000505118
218;0.0000915555;-0.0000480065
219;-0.0001525925;-0.0000453827
220;-0.0000610370;-0.0000426158
221;-0.0000610370;-0.0000396865
222;-0.0002746666;-0.0000365864
223;-0.0000915555;-0.0000333200
224;0.0000610370;-0.0000299071
225;-0.0003051851;-0.0000263819
226;0.0001831111;-0.0000227920
227;-0.0000305185;-0.0000191967
228;0.0001220740;-0.0000156650
229;-0.0000610370;-0.0000122734
230;0.0002441481;-0.0000091050
231;-0.0000915555;-0.0000062466
232;0.0002441481;-0.0000037870
233;-0.0005798517;-0.0000018133
234;0.0004882962;-0.0000004071
235;-0.0003662221;0.0000003614
236;0.0004882962;0.0000004394
237;-0.0003051851;-0.0000002024
238;0.0005798517;-0.0000015636
239;-0.0006714072;-0.0000036102
240;0.0007324442;-0.0000062723
241;-0.0006103702;-0.0000094433
242;0.0006408887;-0.0000129832
243;-0.0009460738;-0.0000167226
244;0.0004882962;-0.0000204700
245;-0.0006408887;-0.0000240199
246;0.0007324442;-0.0000271636
247;-0.0008239998;-0.0000296996
248;0.0005188147;-0.0000314456
